,File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location,Latitude,Longitude
2822,22-003254,10/13/2022,2022,10,600 Block,"South ""Cottage Grove"" Avenue",10/13/2022,Weeds/Grass,Voluntarily Complied,12/01/2022,Phone,False,0.0,"600 South Cottage Grove Avenue
Urbana, IL
(40.108493807, -88.195603619)",40.108493807,-88.195603619
2823,807006,07/07/2008,2008,7,1300 BLOCK,E Michigan Av,07/08/2008,Weeds/Grass,Owner Abated,07/16/2008,Not Available,False,0.0,"1300 E Michigan Av
Urbana, IL
(40.101552624, -88.192799904)",40.101552624,-88.192799904
2824,1107023,07/13/2011,2011,7,2100 BLOCK,Country Squire Dr,07/14/2011,Weeds/Grass,City Abated,07/22/2011,Not Available,False,0.0,"2100 Country Squire Dr
Urbana, IL
(40.102528353, -88.18133652)",40.102528353,-88.18133652
2825,18-000895,08/21/2018,2018,8,1100 Block,S Lincoln Avenue,08/21/2018,Municipal Waste,Voluntarily Complied,09/06/2018,Phone,False,0.0,"1100 S Lincoln Avenue
Urbana, IL
(40.103650009, -88.219125096)",40.103650009,-88.219125096
2826,18-000597,06/01/2018,2018,6,400 Block,S Johnson Avenue,06/01/2018,Weeds/Grass,Voluntarily Complied,06/11/2018,Phone,False,0.0,"400 S Johnson Avenue
Urbana, IL
(40.110154227, -88.196769882)",40.110154227,-88.196769882
2827,905102,05/27/2009,2009,5,1400 BLOCK,S Wiley Dr,05/28/2009,Weeds/Grass,Owner Abated,06/05/2009,Not Available,False,0.0,"1400 S Wiley Dr
Urbana, IL
(40.100611202, -88.197655189)",40.100611202,-88.197655189
2828,706042,06/15/2007,2007,6,1000 BLOCK,N Division Av,06/15/2007,Municipal Waste,Owner Abated,06/23/2007,Not Available,False,0.0,"1000 N Division Av
Urbana, IL
(40.122038034, -88.205225986)",40.122038034,-88.205225986
2831,806069,06/30/2008,2008,6,700 BLOCK,E Main St,07/01/2008,Municipal Waste,Owner Abated,07/09/2008,Not Available,False,0.0,"700 E Main St
Urbana, IL
(40.112942735, -88.201362988)",40.112942735,-88.201362988
2833,1405021,05/13/2014,2014,5,1000 BLOCK,E Washington St,05/13/2014,Weeds/Grass,Owner Abated,05/21/2014,Not Available,False,0.0,"1000 E Washington St
Urbana, IL
(40.105738061, -88.19653615)",40.105738061,-88.19653615
2834,21-001863,08/16/2021,2021,8,700 Block,West Illinois Street,08/16/2021,Municipal Waste,Voluntarily Complied,08/24/2021,Phone,False,0.0,"700 West Illinois Street
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
2835,905012,05/04/2009,2009,5,2100 BLOCK,S Vawter Dr,05/05/2009,Weeds/Grass,Owner Abated,05/13/2009,Not Available,False,0.0,"2100 S Vawter Dr
Urbana, IL
(40.090632699, -88.191635067)",40.090632699,-88.191635067
2836,1108029,08/11/2011,2011,8,1600 BLOCK,S Rutledge Dr,08/12/2011,Weeds/Grass,Owner Abated,08/20/2011,Not Available,False,0.0,"1600 S Rutledge Dr
Urbana, IL
(40.100033958, -88.182680623)",40.100033958,-88.182680623
2839,1011017,11/04/2010,2010,11,1000 BLOCK,N Berkley Av,11/04/2010,Weeds/Grass,City Abated,11/04/2010,Not Available,False,0.0,"1000 N Berkley Av
Urbana, IL
(40.121997288, -88.206375111)",40.121997288,-88.206375111
2840,1606070,06/27/2016,2016,6,200 BLOCK,N Busey Av,06/27/2016,Weeds/Grass,City Abated,07/05/2016,Not Available,False,0.0,"200 N Busey Av
Urbana, IL
(40.113435512, -88.217612328)",40.113435512,-88.217612328
2841,1004023,04/26/2010,2010,4,700 BLOCK,E Shurts Dr,04/27/2010,Weeds/Grass,Owner Abated,05/05/2010,Not Available,False,0.0,"700 E Shurts Dr
Urbana, IL
(40.086277936, -88.199335941)",40.086277936,-88.199335941
2843,1310011,10/10/2013,2013,10,500 BLOCK,W Green St,10/10/2013,Municipal Waste,Owner Abated,10/18/2013,Not Available,False,0.0,"500 W Green St
Urbana, IL
(40.110736204, -88.213236316)",40.110736204,-88.213236316
2844,18-000465,05/10/2018,2018,5,900 Block,E Scovill Street,05/10/2018,Weeds/Grass,Voluntarily Complied,05/18/2018,City Staff Reported,False,0.0,"900 E Scovill Street
Urbana, IL
(40.085472354, -88.197493206)",40.085472354,-88.197493206
2846,710033,10/08/2007,2007,10,1600 BLOCK,Hunter St,10/09/2007,Weeds/Grass,City Abated,10/17/2007,Not Available,False,0.0,"1600 Hunter St
Urbana, IL
(40.10387729, -88.188545063)",40.10387729,-88.188545063
2847,20-000883,05/27/2020,2020,5,1200 Block,East Eastern Drive,05/27/2020,Weeds/Grass,Voluntarily Complied,06/04/2020,Phone,False,0.0,"1200 East Eastern Drive
Urbana, IL
(40.10447701, -88.194456961)",40.10447701,-88.194456961
2848,21-002167,09/20/2021,2021,9,400 Block,West High Street,09/20/2021,Municipal Waste,Voluntarily Complied,10/04/2021,Phone,False,0.0,"400 West High Street
Urbana, IL
(40.109946217, -88.211826301)",40.109946217,-88.211826301
2849,22-002816,08/30/2022,2022,8,1700 Block,East Michigan Avenue,08/30/2022,Weeds/Grass,Voluntarily Complied,09/07/2022,Phone,False,0.0,"1700 East Michigan Avenue
Urbana, IL
(40.101768095, -88.186456157)",40.101768095,-88.186456157
2850,19-001378,07/09/2019,2019,7,1100 Block,South Lanore Drive,07/09/2019,Municipal Waste,City Abated,07/29/2019,Phone,False,119.0,"1100 South Lanore Drive
Urbana, IL
(40.103773967, -88.18651345)",40.103773967,-88.18651345
2852,23-001632,06/05/2023,2023,6,1700 Block,East Michigan Avenue,06/05/2023,Weeds/Grass,City Abated,08/30/2023,Phone,False,452.5,"1700 East Michigan Avenue
Urbana, IL
(40.101768095, -88.186456157)",40.101768095,-88.186456157
2854,22-002691,08/22/2022,2022,8,500 Block,West Green Street,08/22/2022,Weeds/Grass,Voluntarily Complied,08/30/2022,Phone,False,0.0,"500 West Green Street
Urbana, IL
(40.110736204, -88.213236316)",40.110736204,-88.213236316
2855,23-003059,10/11/2023,2023,10,1600 Block,East Hunter Street,10/11/2023,Municipal Waste,Voluntarily Complied,10/19/2023,Phone,False,0.0,"1600 East Hunter Street
Urbana, IL
(40.10387729, -88.188545063)",40.10387729,-88.188545063
2858,1005007,05/03/2010,2010,5,2000 BLOCK,E Michigan Av,05/04/2010,Weeds/Grass,Owner Abated,05/12/2010,Not Available,False,0.0,"2000 E Michigan Av
Urbana, IL
(40.101807193, -88.183015876)",40.101807193,-88.183015876
2859,1210030,10/24/2012,2012,10,1400 BLOCK,W Bradley Av,10/24/2012,Municipal Waste,City Abated,11/01/2012,Not Available,False,0.0,"1400 W Bradley Av
Urbana, IL
(40.127437737, -88.225095712)",40.127437737,-88.225095712
2860,22-000371,02/28/2022,2022,2,900 Block,West Stoughton Street,02/28/2022,Municipal Waste,Voluntarily Complied,03/08/2022,Phone,False,0.0,"900 West Stoughton Street
Urbana, IL
(40.113666136, -88.219456388)",40.113666136,-88.219456388
2863,1705099,05/31/2017,2017,5,700 BLOCK,S Busey Av,05/31/2017,Weeds/Grass,Owner Abated,06/08/2017,Not Available,False,0.0,"700 S Busey Av
Urbana, IL
(40.107373652, -88.217603895)",40.107373652,-88.217603895
2864,20-001241,07/08/2020,2020,7,500 Block,South Maple Street,07/08/2020,Weeds/Grass,City Abated,11/17/2020,Phone,False,158.0,"500 South Maple Street
Urbana, IL
(40.109283774, -88.202463655)",40.109283774,-88.202463655
2865,23-001018,04/25/2023,2023,4,900 Block,North Gregory Street,04/25/2023,Weeds/Grass,Voluntarily Complied,05/08/2023,Phone,False,0.0,"900 North Gregory Street
Urbana, IL
(40.12010762, -88.221005483)",40.12010762,-88.221005483
2866,1208032,08/10/2012,2012,8,700 BLOCK,W High ST,08/10/2012,Municipal Waste,Owner Abated,08/18/2012,Not Available,False,0.0,"700 W High ST
Urbana, IL
(40.10988641, -88.216066025)",40.10988641,-88.216066025
2869,19-001581,07/29/2019,2019,7,2300 Block,East Washington Street,07/29/2019,Municipal Waste,Voluntarily Complied,08/06/2019,Phone,False,0.0,"2300 East Washington Street
Urbana, IL
(40.105787316, -88.178065084)",40.105787316,-88.178065084
2870,22-001312,05/18/2022,2022,5,700 Block,West California Avenue,05/18/2022,Municipal Waste,Voluntarily Complied,05/26/2022,Phone,False,0.0,"700 West California Avenue
Urbana, IL
(40.108356404, -88.216066042)",40.108356404,-88.216066042
2871,1507001,07/01/2015,2015,7,800 BLOCK,W Iowa St,07/01/2015,Weeds/Grass,Owner Abated,07/09/2015,Not Available,False,0.0,"800 W Iowa St
Urbana, IL
(40.104716333, -88.21770612)",40.104716333,-88.21770612
2873,1411001,11/03/2014,2014,11,2000 BLOCK,Easy St,11/03/2014,Municipal Waste,Owner Abated,11/11/2014,Not Available,False,0.0,"2000 Easy St
Urbana, IL
(40.105027287, -88.183069265)",40.105027287,-88.183069265
2874,1108045,08/18/2011,2011,8,400 BLOCK,S Busey Av,08/18/2011,Municipal Waste,Owner Abated,08/26/2011,Not Available,False,0.0,"400 S Busey Av
Urbana, IL
(40.109753337, -88.217644274)",40.109753337,-88.217644274
2875,19-002194,10/10/2019,2019,10,1100 Block,East Scovill Street,10/10/2019,Weeds/Grass,Voluntarily Complied,11/20/2019,Phone,False,246.5,"1100 East Scovill Street
Urbana, IL
(40.085835418, -88.195581276)",40.085835418,-88.195581276
2876,1205120,05/30/2012,2012,5,400 BLOCK,N Beringer Cr,05/30/2012,Weeds/Grass,City Abated,06/07/2012,Not Available,False,0.0,"400 N Beringer Cr
Urbana, IL
(40.115269639, -88.168020403)",40.115269639,-88.168020403
2878,1006139,06/28/2010,2010,6,100 BLOCK,N Poplar St,06/29/2010,Municipal Waste,City Abated,07/07/2010,Not Available,False,0.0,"100 N Poplar St
Urbana, IL
(40.113029018, -88.194577379)",40.113029018,-88.194577379
2879,23-002008,07/11/2023,2023,7,1400 Block,East Stout Drive,07/11/2023,Municipal Waste,Voluntarily Complied,08/30/2023,Phone,False,0.0,"1400 East Stout Drive
Urbana, IL
(40.110632331, -88.1925279)",40.110632331,-88.1925279
2880,1409016,09/04/2014,2014,9,1000 BLOCK,S Lincoln Av,09/04/2014,Municipal Waste,Owner Abated,09/12/2014,Not Available,False,0.0,"1000 S Lincoln Av
Urbana, IL
(40.104564999, -88.219145128)",40.104564999,-88.219145128
2881,1501006,01/09/2015,2015,1,1700 BLOCK,S Philo Rd,01/09/2015,Snow Removal,Owner Abated,01/10/2015,Not Available,False,0.0,"1700 S Philo Rd
Urbana, IL
(40.098353449, -88.190624189)",40.098353449,-88.190624189
2882,22-001027,05/06/2022,2022,5,1700 Block,South Vine Street,05/06/2022,Weeds/Grass,City Abated,06/01/2022,Phone,False,194.5,"1700 South Vine Street
Urbana, IL
(40.09827272, -88.204835131)",40.09827272,-88.204835131
2884,1409037,09/23/2014,2014,9,1300 BLOCK,E Silver St,09/23/2014,Municipal Waste,Owner Abated,10/01/2014,Not Available,False,0.0,"1300 E Silver St
Urbana, IL
(40.091547301, -88.192955131)",40.091547301,-88.192955131
2885,1611004,11/07/2016,2016,11,1000 BLOCK,N Geraldine Av,11/07/2016,Weeds/Grass,Owner Abated,11/15/2016,Not Available,False,0.0,"1000 N Geraldine Av
Urbana, IL
(40.122035176, -88.20273241)",40.122035176,-88.20273241
2886,905070,05/19/2009,2009,5,900 BLOCK,S Wabash Av,05/20/2009,Weeds/Grass,Owner Abated,05/28/2009,Not Available,False,0.0,"900 S Wabash Av
Urbana, IL
(40.10562339, -88.196534202)",40.10562339,-88.196534202
2888,18-000614,06/07/2018,2018,6,800 Block,"S ""Cottage Grove"" Avenue",06/07/2018,Weeds/Grass,Voluntarily Complied,06/15/2018,Phone,False,0.0,"800 S Cottage Grove Avenue
Urbana, IL
(40.106879805, -88.195586841)",40.106879805,-88.195586841
2889,1003008,03/09/2010,2010,3,600 BLOCK,W Ohio St,03/09/2010,Municipal Waste,Owner Abated,03/17/2010,Not Available,False,0.0,"600 W Ohio St
Urbana, IL
(40.103786842, -88.214475538)",40.103786842,-88.214475538
2890,1308014,08/14/2013,2013,8,800 BLOCK,E Hawthorne Dr,08/14/2013,Weeds/Grass,City Abated,08/22/2013,Not Available,False,0.0,"800 E Hawthorne Dr
Urbana, IL
(40.102449079, -88.198804548)",40.102449079,-88.198804548
2893,21-000982,05/13/2021,2021,5,500 Block,East Illinois Street,05/13/2021,Weeds/Grass,Voluntarily Complied,05/21/2021,Phone,False,0.0,"500 East Illinois Street
Urbana, IL
(40.109397898, -88.202465873)",40.109397898,-88.202465873
2894,809006,09/08/2008,2008,9,200 BLOCK,S Grove Av,09/08/2008,Weeds/Grass,City Abated,09/17/2008,Not Available,False,0.0,"200 S Grove Av
Urbana, IL
(40.111713686, -88.201323874)",40.111713686,-88.201323874
2895,1105049,05/11/2011,2011,5,2400 BLOCK,Whitson Cir,05/11/2011,Weeds/Grass,City Abated,05/19/2011,Not Available,False,0.0,"2400 Whitson Cir
Urbana, IL
(40.086509323, -88.192175955)",40.086509323,-88.192175955
2896,23-003318,11/06/2023,2023,11,1200 Block,East Michigan Avenue,11/06/2023,Municipal Waste,Voluntarily Complied,11/14/2023,Phone,False,0.0,"1200 East Michigan Avenue
Urbana, IL
(40.101663041, -88.194170014)",40.101663041,-88.194170014
2897,22-001436,05/25/2022,2022,5,1100 Block,North Coler Avenue,05/25/2022,Municipal Waste,Voluntarily Complied,10/04/2022,Phone,False,0.0,"1100 North Coler Avenue
Urbana, IL
(40.121889835, -88.215665083)",40.121889835,-88.215665083
2898,1508020,08/10/2015,2015,8,1200 BLOCK,N Busey Av,08/10/2015,Weeds/Grass,Owner Abated,08/18/2015,Not Available,False,0.0,"1200 N Busey Av
Urbana, IL
(40.122772643, -88.216912359)",40.122772643,-88.216912359
2900,23-003060,10/11/2023,2023,10,1100 Block,South Austin Drive,10/11/2023,Municipal Waste,Voluntarily Complied,10/19/2023,Phone,False,0.0,"1100 South Austin Drive
Urbana, IL
(40.10376461, -88.187452664)",40.10376461,-88.187452664
2901,1505021,05/07/2015,2015,5,1100 BLOCK,S Austin Dr,05/07/2015,Weeds/Grass,Owner Abated,05/15/2015,Not Available,False,0.0,"1100 S Austin Dr
Urbana, IL
(40.10376461, -88.187452664)",40.10376461,-88.187452664
2902,801013,01/29/2008,2008,1,1300 BLOCK,W Beech St,01/30/2008,Weeds/Grass,City Abated,02/07/2008,Not Available,False,0.0,"1300 W Beech St
Urbana, IL
(40.122227288, -88.225824887)",40.122227288,-88.225824887
2905,702004,02/06/2007,2007,2,700 BLOCK,W California Av,02/07/2007,Municipal Waste,Owner Abated,02/15/2007,Not Available,False,0.0,"700 W California Av
Urbana, IL
(40.108356404, -88.216066042)",40.108356404,-88.216066042
2906,23-001246,05/11/2023,2023,5,500 Block,South Birch Street,05/11/2023,Weeds/Grass,Voluntarily Complied,05/19/2023,Phone,False,0.0,"500 South Birch Street
Urbana, IL
(40.109124784, -88.211652445)",40.109124784,-88.211652445
2908,1306041,06/26/2013,2013,6,1200 BLOCK,N Division Av,06/26/2013,Weeds/Grass,Owner Abated,07/05/2013,Not Available,False,0.0,"1200 N Division Av
Urbana, IL
(40.1238473, -88.205255036)",40.1238473,-88.205255036
2910,1111003,11/01/2011,2011,11,1100 BLOCK,S Austin Dr,11/01/2011,Weeds/Grass,City Abated,11/09/2011,Not Available,False,0.0,"1100 S Austin Dr
Urbana, IL
(40.10376461, -88.187452664)",40.10376461,-88.187452664
2911,1202015,02/28/2012,2012,2,1300 BLOCK,E Michigan Av,02/29/2012,Municipal Waste,Owner Abated,03/08/2012,Not Available,False,0.0,"1300 E Michigan Av
Urbana, IL
(40.101552624, -88.192799904)",40.101552624,-88.192799904
2913,1509046,09/22/2015,2015,9,1500 BLOCK,Trails Dr,09/22/2015,Weeds/Grass,Owner Abated,09/30/2015,Not Available,False,0.0,"1500 Trails Dr
Urbana, IL
(40.077956172, -88.190283642)",40.077956172,-88.190283642
2914,1109016,09/13/2011,2011,9,1100 BLOCK,S Busey Av,09/13/2011,Weeds/Grass,Owner Abated,09/21/2011,Not Available,False,0.0,"1100 S Busey Av
Urbana, IL
(40.103653163, -88.21754449)",40.103653163,-88.21754449
2916,708009,08/06/2007,2007,8,100 BLOCK,S Lynn St,08/07/2007,Weeds/Grass,Owner Abated,08/15/2007,Not Available,False,0.0,"100 S Lynn St
Urbana, IL
(40.112923065, -88.197764581)",40.112923065,-88.197764581
2917,808068,08/26/2008,2008,8,1200 BLOCK,W Beech St,08/27/2008,Municipal Waste,Owner Abated,09/04/2008,Not Available,False,0.0,"1200 W Beech St
Urbana, IL
(40.122227288, -88.224234924)",40.122227288,-88.224234924
2920,1707014,07/14/2017,2017,7,700 BLOCK,W Elm St.,07/14/2017,Weeds/Grass,Owner Abated,07/21/2017,Not Available,False,0.0,"700 W Elm St
Urbana, IL
(40.111555979, -88.216086615)",40.111555979,-88.216086615
2921,709042,09/12/2007,2007,9,300 BLOCK,E Green St,09/13/2007,Weeds/Grass,Owner Abated,09/21/2007,Not Available,False,0.0,"300 E Green St
Urbana, IL
(40.110857875, -88.204885862)",40.110857875,-88.204885862
2922,18-036514,12/12/2018,2018,12,700 Block,West California Avenue,12/12/2018,Municipal Waste,Voluntarily Complied,12/20/2018,Phone,False,0.0,"700 West California Avenue
Urbana, IL
(40.108356404, -88.216066042)",40.108356404,-88.216066042
2923,21-001394,06/24/2021,2021,6,1600 Block,East Trails Drive,06/24/2021,Municipal Waste,Voluntarily Complied,07/02/2021,Phone,False,0.0,"1600 East Trails Drive
Urbana, IL
(40.07794829, -88.188326487)",40.07794829,-88.188326487
2925,1203002,03/06/2012,2012,3,600 BLOCK,W Pennsylvania Av,03/06/2012,Municipal Waste,Owner Abated,03/14/2012,Not Available,False,0.0,"600 W Pennsylvania Av
Urbana, IL
(40.100736685, -88.214455695)",40.100736685,-88.214455695
2926,22-003005,09/19/2022,2022,9,1000 Block,North Coler Avenue,09/19/2022,Weeds/Grass,City Abated,12/01/2022,Phone,False,285.5,"1000 North Coler Avenue
Urbana, IL
(40.121029181, -88.215640891)",40.121029181,-88.215640891
2927,18-000522,05/16/2018,2018,5,700 Block,W Illinois Street,05/16/2018,Municipal Waste,Voluntarily Complied,05/24/2018,Phone,False,0.0,"700 W Illinois Street
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
2928,903031,03/12/2009,2009,3,900 BLOCK,S Vine St,03/13/2009,Municipal Waste,Owner Abated,03/21/2009,Not Available,False,0.0,"900 S Vine St
Urbana, IL
(40.105568266, -88.204901318)",40.105568266,-88.204901318
2930,1606032,06/08/2016,2016,6,600 BLOCK,W California Av,06/08/2016,Weeds/Grass,Owner Abated,06/16/2016,Not Available,False,0.0,"600 W California Av
Urbana, IL
(40.108376282, -88.214556185)",40.108376282,-88.214556185
2931,1709003,09/01/2017,2017,9,500 BLOCK,S Busey Av,09/01/2017,Municipal Waste,Owner Abated,09/09/2017,Not Available,False,0.0,"500 S Busey Av
Urbana, IL
(40.109063756, -88.21763377)",40.109063756,-88.21763377
2932,19-000816,05/08/2019,2019,5,1200 Block,East Florida Avenue,05/08/2019,Weeds/Grass,Voluntarily Complied,05/16/2019,Phone,False,0.0,"1200 East Florida Avenue
Urbana, IL
(40.098437309, -88.194059801)",40.098437309,-88.194059801
2933,1305100,05/15/2013,2013,5,1900 BLOCK,Country Squire Dr,05/15/2013,Weeds/Grass,Owner Abated,05/23/2013,Not Available,False,0.0,"1900 Country Squire Dr
Urbana, IL
(40.102835564, -88.185074353)",40.102835564,-88.185074353
2935,19-002058,09/25/2019,2019,9,1200 Block,East Windsor Road,09/25/2019,Weeds/Grass,City Abated,10/16/2019,Email,False,1580.0,"1200 East Windsor Road
Urbana, IL
(40.083752707, -88.191635074)",40.083752707,-88.191635074
2936,20-002421,12/08/2020,2020,12,2000 Block,South Philo Road,12/08/2020,Municipal Waste,Voluntarily Complied,12/16/2020,Phone,False,0.0,"2000 South Philo Road
Urbana, IL
(40.093804007, -88.19057341)",40.093804007,-88.19057341
2937,23-001937,07/05/2023,2023,7,100 Block,South Lynn Street,07/05/2023,Weeds/Grass,Voluntarily Complied,07/13/2023,Phone,False,0.0,"100 South Lynn Street
Urbana, IL
(40.112923065, -88.197764581)",40.112923065,-88.197764581
2938,22-001487,05/26/2022,2022,5,1400 Block,South Ogelthorpe Avenue,05/26/2022,Weeds/Grass,Voluntarily Complied,06/03/2022,Phone,False,0.0,"1400 South Ogelthorpe Avenue
Urbana, IL
(40.101793302, -88.174854293)",40.101793302,-88.174854293
2939,1105027,05/09/2011,2011,5,1100 BLOCK,E Briarcliff Dr,05/10/2011,Weeds/Grass,Owner Abated,05/18/2011,Not Available,False,0.0,"1100 E Briarcliff Dr
Urbana, IL
(40.100917305, -88.195485115)",40.100917305,-88.195485115
2940,908001,08/03/2009,2009,8,1000 BLOCK,E Illinois St,08/04/2009,Weeds/Grass,Owner Abated,08/12/2009,Not Available,False,0.0,"1000 E Illinois St
Urbana, IL
(40.109447316, -88.196745073)",40.109447316,-88.196745073
2941,22-003067,09/23/2022,2022,9,1100 Block,West Stoughton Street,09/23/2022,Municipal Waste,Voluntarily Complied,10/03/2022,Phone,False,0.0,"1100 West Stoughton Street
Urbana, IL
(40.113616373, -88.222476091)",40.113616373,-88.222476091
2945,20-001981,09/30/2020,2020,9,900 Block,South Lanore Drive,09/30/2020,Weeds/Grass,Voluntarily Complied,10/13/2020,Phone,False,0.0,"900 South Lanore Drive
Urbana, IL
(40.105623882, -88.186563557)",40.105623882,-88.186563557
2946,1707018,07/17/2017,2017,7,800 BLOCK,S Race St.,07/17/2017,Weeds/Grass,Owner Abated,07/25/2017,Not Available,False,0.0,"800 S Race St
Urbana, IL
(40.106563141, -88.208724527)",40.106563141,-88.208724527
2947,20-000609,04/28/2020,2020,4,1100 Block,West Church Street,04/28/2020,Weeds/Grass,Voluntarily Complied,05/06/2020,Phone,False,0.0,"1100 West Church Street
Urbana, IL
(40.118316584, -88.221883749)",40.118316584,-88.221883749
2949,707049,07/23/2007,2007,7,1200 BLOCK,W Hill St,07/24/2007,Municipal Waste,Owner Abated,08/01/2007,Not Available,False,0.0,"1200 W Hill St
Urbana, IL
(40.119396844, -88.224145499)",40.119396844,-88.224145499
2950,705076,05/16/2007,2007,5,900 BLOCK,N Linview Av,05/17/2007,Weeds/Grass,Owner Abated,05/25/2007,Not Available,False,0.0,"900 N Linview Av
Urbana, IL
(40.120137302, -88.218065102)",40.120137302,-88.218065102
2951,708107,08/29/2007,2007,8,1100 BLOCK,W Hill St,08/30/2007,Weeds/Grass,Owner Abated,09/07/2007,Not Available,False,0.0,"1100 W Hill St
Urbana, IL
(40.119256963, -88.221825376)",40.119256963,-88.221825376
2952,19-000011,01/03/2019,2019,1,700 Block,West California Avenue,01/03/2019,Municipal Waste,Voluntarily Complied,01/11/2019,Phone,False,0.0,"700 West California Avenue
Urbana, IL
(40.108356404, -88.216066042)",40.108356404,-88.216066042
